指導教員,修士論文主題
牛島光一,コロナ禍における需要ショックの因果推定：中古バイク価格を用いた分析
牛島光一,文化的選抜コンテストのシグナリング効果：オンライン需要に与える影響
牛島光一,監査委調査開始がアナリスト評価に及ぼす影響：2011年インサイダー事件の実証分析
牛島光一,花粉が経済活動に与える影響
牛島光一,プロスポーツチームが地域経済に与える影響?昇降格制度を用いて?
境野翔,模倣学習に向けた高品質モーションデータの取得と編集手法に関する研究
境野翔,高難度タスクに向けた動作修正手法および階層型模倣学習モデルの検証
境野翔,スケーリング付きバイラテラル制御に基づく模倣学習
境野翔,動作プリミティブ統合に基づく階層型比率モデルによる動作生成
境野翔,Exploring a Torque-Conditioned and Hierarchical Framework Trained via Multi-Control-Modality Imitation Learning
橋本悠希,静電触覚ディスプレイにおける振動増幅機構の設計と知覚評価
橋本悠希,漆回路のための水圧転写技術と箔押しを?組み合わせた湾曲面への配線手法の検討
橋本悠希,体温調節による入眠促進を目指した体幹部水冷機構の検討
橋本悠希,足背部・足根管部への振動刺激による中足部・後足部への足底錯触覚提示
橋本悠希,杖の振り下ろし・引き上げ時の振動提示が地面の粘性変化に及ぼす影響
金広文男,Multi-Contact Motions Using the Elbow or Knee of a Humanoid Robot via External Force Estimation
金広文男,Monocular Visual SLAM that works with Pre-built Point Cloud Maps using Point and Line Features
建部修見,第一階層分散ストレージの階層型ネットワークによる高速化
古賀弘樹,しきい値型秘密分散法におけるシェアの部分情報の漏洩に対する安全性解析
古賀弘樹,しきい値型視覚暗号における全シェア重ね合わせ時の最大の相対差について
古川宏,フォントの最適化と背景色の追加によるハイブリッド画像を用いたPIN認証の覗き見攻撃耐性とユーザ視認性の向上
五十嵐康彦,"仮想環境によるデータ生成を用いた自律材料探索ロボットの物体
検出"
五十嵐康彦,"電子線ホログラフィーによる電荷量解析における必要な計測フ
レーム数の統計的推定"
五十嵐康彦,"イメージング型スピン分解光電子顕微鏡における深層生成モデル
を活用した計測最適化"
後藤真孝,歌声・伴奏・歌詞ごとの嗜好と許容度を考慮できる楽曲推薦インタフェースに関する研究
工藤博幸,"多方向スライス学習と多数決統合を用いた医用画像セグメンテー
ションの動画像への拡張と精度改善"
工藤博幸,"雑音の統計的性質を考慮したDeep Image Priorによる低線量CT画
像再構成"
甲斐田直子,平均以下効果が環境配慮行動意図に与える影響
甲斐田直子,騒音迷惑度と自己観の関係性：日本・カナダ比較研究
高安亮紀,ノイマン境界条件を課した楕円型偏微分方程式の解のZernike多項式による精度保証付き数値計算
高橋伸,"動的にスマートフォンの画面を傾斜させるタッチスクリーンイン
タラクション"
高橋伸,モバイルデバイス上で動作するAR手書きノート作成システム
高橋伸,"Investigating the Effects of Gaze-Based Highlighting on Reading
Behavior"
高橋大介,より低精度なFFTを用いた高精度なFFTの計算手法に関する研究
高野祐一,最適多分木を用いた解釈可能なクラスタリング
高野祐一,消費電力と所要時間の不確実性を考慮した電動バスの運行計画最適化
合原一究,"魚類の捕食-逃避行動の3次元トラッキングと3DCGによる行動モ
デリング"
合原一究,整列を伴わない群をなすユスリカの3次元動態解析
黒田嘉宏,温感の揺らぎ錯覚
黒田嘉宏,機械学習による小児書字評価支援
黒田嘉宏,臨床歩行の視点統合学習
黒田嘉宏,心身調和に向けた温冷交代法
黒田嘉宏,無限階冷風感による眠気抑制
黒田嘉宏,乳腺拘束による乳房MRI体位変換
黒田嘉宏,痛み錯覚の持続提示
今倉暁,"プライバシー保護と個人適応を考慮した音楽感情予測モデルの実
現"
今倉暁,"マルチモーダル医療データに対するモーダル横断的説明手法の提
案"
佐藤聡,"フルサービスリゾルバーの運用改善に着目したキャッシュ削除影
響の定量評価"
